District,Area,Year,Max_Temp,Min_Temp,Rainfall,Humidity,Wind,Cloud,Sunshine,ALT,Productions,PPH
12,71160,1974,38.43333333,24.16666667,139.3333333,74.66666667,3.8,4.666666667,6.871264368,14,57720,0.811129848
13,29540,1974,35.96666667,24.16666667,454.6666667,77.33333333,2.533333333,6.1,5.491954023,3,31085,1.052301963
14,126005,1974,37.46666667,24.9,91,72,1,3.466666667,6.985714286,20,104125,0.826356097
16,58800,1974,33.3,22.83333333,246.6666667,78.66666667,1.566666667,4.233333333,6.233333333,34,49675,0.844812925
17,650845,1974,34.06666667,22.6,638.3333333,82.66666667,1.033333333,6.033333333,6.566666667,35,406080,0.623927356
2,54035,1975,38.16666667,24.5,129,71.66666667,1.633333333,3.266666667,8.433333333,20,38750,0.717127788
3,195320,1975,34.73333333,24.6,235,80.33333333,5.033333333,4.3,6.566666667,6,187955,0.962292648
4,239990,1975,35.36666667,24.4,179,75.33333333,4.933333333,4.266666667,6.435353535,10,218920,0.912204675
5,231935,1975,36.4,24.76666667,216.6666667,78,2.1,4.7,8.733333333,9,216165,0.932006812
6,11870,1975,33.9,23.36666667,181.6666667,70.66666667,1.033333333,3.7,6.5,37,10235,0.862257793
7,66545,1975,36.8,24.13333333,195,79.66666667,2.066666667,4.6,6.687356322,9,60715,0.912390112
8,22170,1975,37.13333333,24.93333333,94,72.66666667,4.4,4.333333333,7.666666667,7,21155,0.954217411
9,44700,1975,34.83333333,25.2,186.3333333,79,1.933333333,4.066666667,6.862222222,4,28660,0.641163311
10,177240,1975,36.73333333,23.53333333,39.33333333,78.33333333,0.4,4.233333333,5.72,19,113680,0.641390205
11,175475,1975,35.13333333,24.43333333,272.3333333,83,1.466666667,3.433333333,6.063218391,6,170065,0.969169397
12,65410,1975,43.5,24.4,172,68,3.833333333,4.033333333,6.871264368,14,57260,0.875401315
13,42320,1975,35.83333333,25,250.6666667,82.66666667,2.133333333,4.766666667,5.491954023,3,43365,1.024692817
14,129060,1975,37.5,25.16666667,78.33333333,66.33333333,1.233333333,3.033333333,6.985714286,20,101630,0.787463195
16,55660,1975,33.3,22.83333333,235.6666667,84.66666667,0.766666667,3.833333333,6.233333333,34,40970,0.736076177
17,650250,1975,34.06666667,22.66666667,536.6666667,81,1.133333333,5.6,7.133333333,35,417850,0.642599
2,24065,1976,38.73333333,23.56666667,199.3333333,72.33333333,1.5,3.866666667,7.966666667,20,21698,0.901641388
3,220335,1976,34.66666667,23.66666667,408,80.33333333,5.066666667,4.266666667,6.566666667,6,204401,0.927682847
4,208290,1976,34.8,24.16666667,277,77.66666667,3.8,5.166666667,6.435353535,10,195141,0.936871669
5,233740,1976,35.9,24.3,373.3333333,78,1.9,4.9,7.666666667,9,224573,0.96078121
6,12485,1976,33.9,23.36666667,181.6666667,70.66666667,1.033333333,3.7,6.5,37,12362,0.990148178
7,42625,1976,36.56666667,24.13333333,273.6666667,78.33333333,1.6,4.566666667,6.687356322,9,42692,1.001571848
8,18640,1976,36.96666667,24,150.6666667,74.66666667,3.366666667,4.033333333,6.866666667,7,20894,1.120922747
9,31175,1976,36.96666667,24.93333333,229,74.33333333,2.1,4.166666667,6.862222222,4,20497,0.657481957
10,154410,1976,35.93333333,22.93333333,267.6666667,78.33333333,0.2,4.366666667,5.72,19,94980,0.615115601
11,153390,1976,32.53333333,24.6,272.3333333,81,1.633333333,4.366666667,6.063218391,6,146513,0.955166569
12,30135,1976,38.46666667,22.73333333,290.3333333,67,3.433333333,3.7,6.871264368,14,29007,0.962568442
13,11460,1976,33.46666667,25.1,274.6666667,82.66666667,2.2,4.766666667,5.491954023,3,9832,0.857940663
