District,Area,Year,Max_Temp,Min_Temp,Rainfall,Humidity,Wind,Cloud,Sunshine,ALT,Productions,PPH
14,22680,2012,40.775,23.3,70.75,68.75,2.025,2.775,7.2,20,119524,5.270017637
15,0,2012,36.825,22.7,349,76.75,2.125,3.725,6.5,63,0,#DIV/0!
16,23340,2012,36,21.95,193.5,74.25,2.475,4.225,6.9,34,118567,5.079991431
17,0,2012,36.425,22.225,587.75,76.5,3.3,5.275,5.25,35,0,#DIV/0!
18,55858,2012,37.375,23.175,131.25,74.5,2.775,3.175,6.825,10,219522,3.930001074
1,13060,2013,36.475,24.15,261.75,81,2.725,4.475,6.575,4,45579,3.489969372
2,36321,2013,36.875,23.525,89.75,74,2.3,4,5.75,20,176883,4.869992566
3,0,2013,33.75,23.975,336.75,81.25,7.2,3.9,6.35,6,0,#DIV/0!
4,2572,2013,34.8,23.65,184.75,80.25,2.45,4.175,6.675,10,8976,3.489891135
5,13773,2013,36.625,24.625,190.25,68.75,2.625,4.45,5.7,9,52200,3.79002396
6,22389,2013,37.625,22.4,150.5,73.75,1.8,3.95,6.425,37,108139,4.830005806
7,176626,2013,37.375,23.825,184.5,74.75,2.4,3.55,6.175,9,722400,4.089998075
8,57912,2013,37.75,23.75,138,73.5,7.45,3.3,6.25,7,296509,5.119992402
9,5175,2013,37.475,24.375,180.75,77.25,2.2,4,6.325,4,22097,4.269951691
